mCode,mTitle,mUPC,mBrand,mIngredients,mNutrients,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
200,SPICY HOMESTYLE GUACAMOLE MINIS,616112031544,"Avomex, Inc.","HASS AVOCADO, TOMATO, ONION, LIME JUICE, JALAPENO PEPPER, WHITE VINEGAR, SERRANO PEPPER, SALT, GRANULATED GARLIC, DEHYDRATED CILANTRO, NATURAL CILANTRO FLAVOR","['Calcium, Ca: 0.0mg', 'Iron, Fe: 0.63mg', 'Vitamin A, IU: 175.0IU', 'Vitamin C, total ascorbic acid: 10.5mg', 'Cholesterol: 0.0mg', 'Protein: 1.75g', 'Total lipid (fat): 14.04g', 'Carbohydrate, by difference: 8.77g', 'Energy: 175.0kcal', 'Sugars, total including NLEA: 1.75g', 'Fiber, total dietary: 3.5g', 'Sodium, Na: 368.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 1.75g']",616112031544,Guacamole,Wholly Guacamole,Spicy Homestyle Guacamole,63,"Dips, Salsa, & Hummus",Spreads dips
200,ALMOND BUTTER,894455000711,"Justin's, LLC","DRY ROASTED ALMONDS, ORGANIC CANE SUGAR, ORGANIC COCOA BUTTER, VANILLA POWDER, PALM OIL, SEA SALT.","['Calcium, Ca: 188.0mg', 'Iron, Fe: 2.25mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Protein: 15.62g', 'Total lipid (fat): 43.75g', 'Carbohydrate, by difference: 34.38g', 'Energy: 562.0kcal', 'Sugars, total including NLEA: 18.75g', 'Fiber, total dietary: 6.2g', 'Sodium, Na: 203.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 9.38g']",894455000711,Almond Butter,Justin's,Vanilla Almond Butter,85,Nut & Seed Butter,Spreads dips
200,"LUNA, PROTEIN, HIGH PROTEIN BAR, CHOCOLATE CHIP COOKIE DOUGH",722252233035,Clif Bar and Company,"SOY PROTEIN ISOLATE, ORGANIC CANE SYRUP, ORGANIC DRIED CANE SYRUP, PALM KERNEL OIL, VEGETABLE GLYCERIN, INULIN (CHICORY EXTRACT), COCOA, DRIED CANE SYRUP, MACADAMIA NUT BUTTER, NATURAL FLAVORS, WHEY PROTEIN CONCENTRATE, UNSWEETENED CHOCOLATE, ORGANIC RICE FLOUR, SALT, SOY LECITHIN, COCOA BUTTER, ORGANIC ALKALIZED COCOA, ORGANIC VANILLA EXTRACT, ALKALIZED COCOA, VANILLA EXTRACT. VITAMINS & MINERALS: CALCIUM CARBONATE, ASCORBIC ACID (VIT. C), TOCOPHERYL ACETATE (VIT. E), FERRIC ORTHOPHOSPHATE (IRON), BETA CAROTENE (VIT. A), NIACINAMIDE (VIT. B3), FOLIC ACID (VIT. B9), CYANOCOBALAMIN (VIT. B12), ERGOCALCIFEROL (VIT. D2), THIAMIN MONONITRATE (VIT. B1), RIBOFLAVIN (VIT. B2), PYRIDOXINE HYDROCHLORIDE (VIT. B6).","['Calcium, Ca: 556.0mg', 'Iron, Fe: 6.0mg', 'Vitamin A, IU: 1111.0IU', 'Vitamin D: 133.0IU', 'Vitamin C, total ascorbic acid: 26.7mg', 'Thiamin: 0.0mg', 'Riboflavin: 0.378mg', 'Niacin: 4.444mg', 'Vitamin B-6: 0.889mg', 'Folate, total: 267.0µg', 'Vitamin B-12: 2.67µg', 'Cholesterol: 0.0mg', 'Protein: 26.67g', 'Total lipid (fat): 13.33g', 'Carbohydrate, by difference: 46.67g', 'Energy: 378.0kcal', 'Sugars, total including NLEA: 31.11g', 'Carbohydrate, other: 9.0g', 'Fiber, total dietary: 6.7g', 'Fiber, insoluble: 2.0g', 'Potassium, K: 300.0mg', 'Sodium, Na: 578.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 7.78g']",722252233035,Protein Bar,Luna,"Protein Bar, Cookie Dough",32,Snack Bars & Meal Substitutes,Snacks
200,SKINNY PACK POPCORN,850251004025,SKINNYPOP,"POPCORN, SUNFLOWER OIL AND SALT","['Calcium, Ca: 0.0mg', 'Iron, Fe: 2.0mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Protein: 11.11g', 'Total lipid (fat): 33.33g', 'Carbohydrate, by difference: 50.0g', 'Energy: 556.0kcal', 'Sugars, total including NLEA: 0.0g', 'Fiber, total dietary: 11.1g', 'Fiber, insoluble: 11.0g', 'Sodium, Na: 250.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 2.78g']",850251004025,Popcorn,Skinny Pop,Popcorn,65,"Chips, Puffs, & Snack Mix",Snacks
200,"LUNA, WHOLE NUTRITION BAR FOR WOMEN, CHOCOLATE DIPPED COCONUT",722252100696,Clif Bar and Company,"LUNAPRO (SOY RICE CRISPS [SOY PROTEIN ISOLATE, ORGANIC RICE FLOUR], ORGANIC TOASTED OATS [ORGANIC ROLLED OATS, ORGANIC DRIED CANE SYRUP, ASCORBIC ACID, NATURAL VITAMIN E (ANTIOXIDANT)], ORGANIC ROASTED SOYBEANS, ORGANIC SOY FLOUR, ORGANIC FLAXMEAL, ORGANIC BROWN RICE SYRUP COATING (ORGANIC DRIED CANE SYRUP, ORGANIC COCOA, PALM KERNEL OIL, ORGANIC PALM KERNEL SOLIDS, ORGANIC SOY LECITHIN, ORGANIC VANILLA), INULIN (CHICORY EXTRACT), ORGANIC SOY PROTEIN CONCENTRATE, ORGANIC COCONUT OIL, ORGANIC COCONUT, ALMOND BUTTER, ORGANIC ALMONDS, VEGETABLE GLYCERIN, ORGANIC OAT SYRUP SOLIDS, ORGANIC DRIED CANE SYRUP, ORGANIC SUNFLOWER OIL, SEA SALT, ORGANIC NATURAL FLAVORS, NATURAL FLAVORS, SOY LECITHIN, NATURAL VITAMIN E (ANTIOXIDANT).  VITAMINS & MINERALS: DICALCIUM PHOSPHATE, CALCIUM CARBONATE, MAGNESIUM OXIDE, FERROUS FUMARATE (IRON), NIACINAMIDE (VIT. B3), ASCORBIC ACID (VIT. C), TOCOPHERYL ACETATE (VIT. E), ZINC OXIDE, MOLYBDENUM GLYCINATE, PYRIDOXINE HYDROCHLORIDE (VIT. B6), CALCIUM PANTOTHENATE, BETA CAROTENE (VIT. A), MANGANESE SULFATE, SELENIUM AAC, RIBOFLAVIN (VIT. B2), CHROMIUM AAC, ERGOCALCIFEROL (VIT. D2), THIAMIN (VIT. B1), CYANOCOBALAMIN (VIT. B12), FOLIC ACID, CUPRIC OXIDE, PHYTONADIONE (VIT. K), BIOTIN, POTASSIUM IODIDE. ","['Calcium, Ca: 729.0mg', 'Iron, Fe: 11.25mg', 'Magnesium, Mg: 83.0mg', 'Phosphorus, P: 417.0mg', 'Zinc, Zn: 10.94mg', 'Copper, Cu: 0.417mg', 'Manganese, Mn: 1.0mg', 'Selenium, Se: 51.0µg', 'Vitamin A, IU: 2083.0IU', 'Vitamin D: 125.0IU', 'Vitamin C, total ascorbic acid: 25.0mg', 'Thiamin: 0.0mg', 'Riboflavin: 1.417mg', 'Niacin: 16.667mg', 'Pantothenic acid: 8.333mg', 'Vitamin B-6: 3.333mg', 'Vitamin B-12: 10.0µg', 'Cholesterol: 0.0mg', 'Protein: 18.75g', 'Total lipid (fat): 14.58g', 'Carbohydrate, by difference: 52.08g', 'Energy: 396.0kcal', 'Sugars, total including NLEA: 22.92g', 'Carbohydrate, other: 23.0g', 'Fiber, total dietary: 6.2g', 'Fiber, soluble: 2.0g', 'Potassium, K: 250.0mg', 'Sodium, Na: 438.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 8.33g']",722252100696,Nutrition Bar,Luna,"Nutrition Bar, Chocolate Dipped Coconut",63,Snack Bars & Meal Substitutes,Snacks
200,FRUIT & NUT BAR,602652199776,KIND Inc.,"ALMONDS, COCONUT, DARK CHOCOLATE FLAVORED COATING (PALM KERNEL OIL, CHICORY ROOT FIBER, SUGAR, COCOA POWDER, SOY LECITHIN, NATURAL FLAVOR, SALT), HONEY, GLUCOSE SYRUP, RICE FLOUR, UNSWEETENED CHOCOLATE, SOY LECITHIN, CHICORY ROOT FIBER, SUGAR, MADAGASCAR VANILLA, SEA SALT.","['Calcium, Ca: 100.0mg', 'Iron, Fe: 2.7mg', 'Magnesium, Mg: 100.0mg', 'Manganese, Mn: 1.0mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Protein: 7.5g', 'Total lipid (fat): 30.0g', 'Carbohydrate, by difference: 55.0g', 'Energy: 475.0kcal', 'Sugars, total including NLEA: 30.0g', 'Fiber, total dietary: 10.0g', 'Potassium, K: 400.0mg', 'Sodium, Na: 62.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 12.5g', 'Fatty acids, total monounsaturated: 11.25g', 'Fatty acids, total polyunsaturated: 3.75g']",602652199776,Granola Bar,KIND,Dark Chocolate Almond and Coconut Bar,21,Snack Bars & Meal Substitutes,Snacks
200,WHOLE NUTRITION BAR FOR WOMEN,722252103307,Clif Bar and Company,"LUNAPRO (SOY RICE CRISPS [SOY PROTEIN ISOLATE, ORGANIC RICE FLOUR, CALCIUM CARBONATE], ORGANIC TOASTED OATS [ORGANIC ROLLED OATS, ORGANIC DRIED CANE SYRUP, NATURAL VITAMIN E (ANTIOXIDANT)] ORGANIC ROASTED SOYBEANS, ORGANIC SOY FLOUR, ORGANIC MILLED FLAXSEED), ORGANIC BROWN RICE SYRUP, COATING (ORGANIC DRIED CANE SYRUP, PALM KERNEL OIL ORGANIC PALM KERNEL SOLIDS, ORGANIC SOY FLOUR, ORGANIC SOY LECITHIN, ORGANIC VANILLA EXTRACT), INULIN (CHICORY EXTRACT), ORGANIC SOY BUTTER (ORGANIC ROASTED SOYBEANS, ORGANIC SOYBEAN OIL, SALT), ORGANIC TAPIOCA SYRUP SOLIDS, LEMON FRUIT PIECES (ORGANIC GLUCOSE SYRUP, PECTIN, CITRIC ACID, SODIUM BICARBONATE, NATURAL FLAVOR), VEGETABLE GLYCERIN, ORGANIC SUNFLOWER OIL, NATURAL FLAVOR, ORGANIC NATURAL FLAVOR, CITRIC ACID, SEA SALT. VITAMINS & MINERALS: DICALCIUM PHOSPHATE, CALCIUM CARBONATE, MAGNESIUM OXIDE, FERROUS FUMARATE (IRON), NIACINAMIDE (VIT. B3), ASCORBIC ACID (VIT. C), DL-ALPHA TOCOPHERYL ACETATE (VIT. E), ZINC OXIDE MOLYBDENUM GLYCINATE, PYRIDOXINE HYDROCHLORIDE (VIT. B6), D-CALCIUM PANTOTHENATE, BETA CAROTENE (VIT. A), MANGANESE SULFATE, SELENIUM AMINO ACID CHELATE, RIBOFLAVIN (VIT. B2), CHROMIUM AMINO ACID CHELATE, ERGOCALCIFEROL (VIT. D2), THIAMINE MONONITRATE (VIT. K), BIOTIN, POTASSIUM IODIDE.","['Calcium, Ca: 729.0mg', 'Iron, Fe: 11.25mg', 'Magnesium, Mg: 83.0mg', 'Phosphorus, P: 417.0mg', 'Zinc, Zn: 10.94mg', 'Copper, Cu: 0.417mg', 'Iodine, I: 109.0µg', 'Manganese, Mn: 1.0mg', 'Selenium, Se: 51.0µg', 'Vitamin A, IU: 2083.0IU', 'Vitamin D: 125.0IU', 'Vitamin C, total ascorbic acid: 25.0mg', 'Thiamin: 0.0mg', 'Riboflavin: 1.417mg', 'Niacin: 16.667mg', 'Pantothenic acid: 8.333mg', 'Vitamin B-6: 3.333mg', 'Folate, total: 833.0µg', 'Vitamin B-12: 10.0µg', 'Vitamin K (phylloquinone): 16.7µg', 'Cholesterol: 0.0mg', 'Protein: 18.75g', 'Total lipid (fat): 10.42g', 'Carbohydrate, by difference: 56.25g', 'Energy: 375.0kcal', 'Sugars, total including NLEA: 25.0g', 'Fiber, total dietary: 6.2g', 'Fiber, insoluble: 2.0g', 'Potassium, K: 229.0mg', 'Sodium, Na: 229.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 5.21g']",722252103307,Nutrition Bar,Luna Bar,Lemonzest Nutrition Bar,68,Snack Bars & Meal Substitutes,Snacks
200,PEANUT BUTTER CHOCOLATE PROTEIN BAR,857777004683,Chicago Bar Company,"DATES, PEANUTS, EGG WHITES, CHOCOLATE, NATURAL FLAVORS, SEA SALT, COCOA.","['Calcium, Ca: 77.0mg', 'Iron, Fe: 3.46mg', 'Potassium, K: 673.0mg', 'Vitamin D: 0.0IU', 'Cholesterol: 0.0mg', 'Protein: 23.08g', 'Total lipid (fat): 17.31g', 'Carbohydrate, by difference: 44.23g', 'Energy: 404.0kcal', 'Sugars, total including NLEA: 26.92g', 'Fiber, total dietary: 9.6g', 'Sodium, Na: 596.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 3.85g']",857777004683,Protein Bar,RXBar,Peanut Butter Chocolate Protein Bar,44,Snack Bars & Meal Substitutes,Snacks
200,POPCORN,818780011471,"Angie's Artisan Treats, LLC","POPCORN, SUNFLOWER OIL, WHEY, CHEDDAR CHEESE (CULTURED PASTEURIZED MILK, SALT, ENZYMES), NONFAT MILK, SEA SALT, LACTIC ACID, NATURAL FLAVOR","['Calcium, Ca: 286.0mg', 'Iron, Fe: 2.57mg', 'Vitamin A, IU: 357.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Protein: 10.71g', 'Total lipid (fat): 32.14g', 'Carbohydrate, by difference: 53.57g', 'Energy: 536.0kcal', 'Sugars, total including NLEA: 7.14g', 'Fiber, total dietary: 10.7g', 'Sodium, Na: 929.0mg', 'Cholesterol: 18.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 5.36g', 'Fatty acids, total monounsaturated: 17.86g', 'Fatty acids, total polyunsaturated: 7.14g']",818780011471,Popcorn,Boomchicka Pop,"Popcorn, White Cheddar",36,"Chips, Puffs, & Snack Mix",Snacks
200,GRAHAM CRACKERS,688267043826,"Ahold Usa, Inc.","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), GRAHAM FLOUR (WHOLE GRAIN WHEAT FLOUR), SUGAR, CANOLA AND/OR SOYBEAN AND/OR PALM OIL, HONEY, CONTAINS 2% OR LESS OF: SALT, BAKING SODA, SOY LECITHIN, CALCIUM PHOSPHATE (LEAVENING), ARTIFICIAL FLAVOR, SODIUM SULFITE.","['Calcium, Ca: 0.0mg', 'Iron, Fe: 3.48mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Fatty acids, total saturated: 0.0g', 'Protein: 6.45g', 'Total lipid (fat): 9.68g', 'Carbohydrate, by difference: 77.42g', 'Energy: 419.0kcal', 'Sugars, total including NLEA: 25.81g', 'Fiber, total dietary: 3.2g', 'Sodium, Na: 435.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total monounsaturated: 1.61g', 'Fatty acids, total polyunsaturated: 4.84g']",688267043826,Graham Crackers Honey,Stop & Shop Brand,Graham Crackers Honey,27,"Crackers, Pretzels, & Rice Snacks",Snacks
200,SALTINE CRACKERS,688267017926,"Ahold USA, Inc.","ENRICHED FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SOYBEAN OIL WITH TBHQ AND CITRIC ACID ADDED TO PRESERVE FRESHNESS, CONTAINS 2% OR LESS OF: SALT, LEAVENING (BAKING SODA AND/OR YEAST), MALTED BARLEY FLOUR, SODIUM SULFITE.","['Fiber, total dietary: 0.0g', 'Calcium, Ca: 0.0mg', 'Iron, Fe: 5.14mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Fatty acids, total saturated: 0.0g', 'Protein: 7.14g', 'Total lipid (fat): 10.71g', 'Carbohydrate, by difference: 78.57g', 'Energy: 429.0kcal', 'Sugars, total including NLEA: 0.0g', 'Sodium, Na: 929.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total monounsaturated: 0.0g', 'Fatty acids, total polyunsaturated: 7.14g']",688267017926,Crackers,Stop & Shop Brand,Saltine Crackers Original,41,"Crackers, Pretzels, & Rice Snacks",Snacks
200,ORGANIC CHOCOLATE PEANUT BUTTER ENERGY BAR,722252268013,Clif Bar and Company,"ORGANIC PEANUT BUTTER, ORGANIC ROLLED OATS, ORGANIC BROWN RICE SYRUP, ORGANIC OAT FLOUR, ORGANIC CANE SYRUP, ORGANIC DATE PASTE, ORGANIC PEA PROTEIN, ORGANIC HIGH OLEIC SUNFLOWER OIL, ORGANIC RICE STARCH, ORGANIC TAPIOCA SYRUP, ORGANIC PALM OIL, ORGANIC PEANUT FLOUR, ORGANIC DRIED CANE SYRUP, ORGANIC RICE FLOUR, VEGETABLE GLYCERIN, ORGANIC UNSWEETENED CHOCOLATE, ORGANIC BROWN RICE PROTEIN, ORGANIC COCOA, NATURAL FLAVORS, SEA SALT, ORGANIC ALKALIZED COCOA, SUNFLOWER LECITHIN, MIXED TOCOPHEROLS (ANTIOXIDANT).","['Calcium, Ca: 40.0mg', 'Iron, Fe: 2.88mg', 'Magnesium, Mg: 80.0mg', 'Phosphorus, P: 200.0mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Protein: 14.0g', 'Total lipid (fat): 22.0g', 'Carbohydrate, by difference: 52.0g', 'Energy: 460.0kcal', 'Sugars, total including NLEA: 18.0g', 'Carbohydrate, other: 28.0g', 'Fiber, total dietary: 6.0g', 'Fiber, insoluble: 4.0g', 'Potassium, K: 320.0mg', 'Sodium, Na: 320.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 5.0g']",722252268013,Snack Bar,Clif Bar,Organic Nut Butter Filled Chocolate Peanut Butter Bar,37,Snack Bars & Meal Substitutes,Snacks
200,ENERGY BAR,722252160195,Clif Bar and Company,"ORGANIC BROWN RICE SYRUP, SOY PROTEIN ISOLATE, ORGANIC PEANUTS, ORGANIC ROLLED OATS, ORGANIC CANE SYRUP, RICE FLOUR, ORGANIC PEANUT BUTTER, ORGANIC OAT FIBER, DRIED CANE SYRUP, UNSWEETENED CHOCOLATE‡, ORGANIC BANANA POWDER, ORGANIC ROASTED SOYBEANS, ORGANIC SOY FLOUR, ORGANIC DRIED BANANAS, SEA SALT, COCOA BUTTER‡, NATURAL FLAVORS, BARLEY MALT EXTRACT, SOY LECITHIN, MIXED TOCOPHEROLS (ANTIOXIDANT). VITAMINS & MINERALS: DICALCIUM PHOSPHATE, MAGNESIUM OXIDE, ASCORBIC ACID (VIT. C), DL-ALPHA TOCOPHERYL ACETATE (VIT. E), BETA CAROTENE (VIT. A), NIACINAMIDE (VIT. B3), ERGOCALCIFEROL (VIT. D2), THIAMINE MONONITRATE (VIT. B1), PYRIDOXINE HYDROCHLORIDE (VIT. B6), RIBOFLAVIN (VIT. B2), CYANOCOBALAMIN (VIT. B12).","['Calcium, Ca: 294.0mg', 'Iron, Fe: 2.65mg', 'Magnesium, Mg: 118.0mg', 'Phosphorus, P: 368.0mg', 'Vitamin A, IU: 735.0IU', 'Vitamin D: 88.0IU', 'Vitamin C, total ascorbic acid: 8.8mg', 'Thiamin: 0.0mg', 'Riboflavin: 0.25mg', 'Niacin: 2.941mg', 'Vitamin B-6: 0.294mg', 'Vitamin B-12: 0.88µg', 'Cholesterol: 0.0mg', 'Protein: 14.71g', 'Total lipid (fat): 10.29g', 'Carbohydrate, by difference: 60.29g', 'Energy: 382.0kcal', 'Sugars, total including NLEA: 30.88g', 'Carbohydrate, other: 24.0g', 'Fiber, total dietary: 5.9g', 'Fiber, insoluble: 4.0g', 'Potassium, K: 309.0mg', 'Sodium, Na: 382.0mg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 2.94g', 'Fatty acids, total monounsaturated: 4.41g', 'Fatty acids, total polyunsaturated: 2.94g']",722252160195,Energy Bar, CLIF Bar,Peanut Butter Banana Energy Bar,25,Snack Bars & Meal Substitutes,Snacks
